#    L    TT             EE             BB             TE          
     2   0.105244E+04   0.450673E-01   0.139246E-05   0.320375E+01
     3   0.993178E+03   0.704765E-01   0.278547E-05   0.388358E+01
     4   0.934812E+03   0.759573E-01   0.464365E-05   0.390647E+01
     5   0.889516E+03   0.644702E-01   0.696773E-05   0.355809E+01
     6   0.856942E+03   0.455305E-01   0.975857E-05   0.305050E+01
     7   0.834774E+03   0.278539E-01   0.130172E-04   0.251363E+01
     8   0.820198E+03   0.158358E-01   0.167449E-04   0.202701E+01
     9   0.811586E+03   0.967515E-02   0.209428E-04   0.162652E+01
    10   0.807692E+03   0.734961E-02   0.256126E-04   0.132490E+01
    11   0.807114E+03   0.660528E-02   0.307557E-04   0.112355E+01
    12   0.810021E+03   0.612547E-02   0.363737E-04   0.101657E+01
    13   0.814712E+03   0.535871E-02   0.424685E-04   0.982989E+00
    14   0.820345E+03   0.464853E-02   0.490419E-04   0.997835E+00
    15   0.827295E+03   0.419219E-02   0.560957E-04   0.104178E+01
    16   0.836026E+03   0.407184E-02   0.636319E-04   0.109913E+01
    17   0.846429E+03   0.427591E-02   0.716523E-04   0.115997E+01
    18   0.857526E+03   0.459300E-02   0.801589E-04   0.121851E+01
    19   0.870176E+03   0.495473E-02   0.891536E-04   0.127314E+01
    20   0.882742E+03   0.539314E-02   0.986384E-04   0.132077E+01
    21   0.895586E+03   0.593186E-02   0.108615E-03   0.136277E+01
    22   0.908985E+03   0.666518E-02   0.119085E-03   0.140110E+01
    23   0.922734E+03   0.761928E-02   0.130051E-03   0.144062E+01
    24   0.936882E+03   0.876823E-02   0.141513E-03   0.148542E+01
    25   0.951414E+03   0.101169E-01   0.153474E-03   0.153332E+01
    26   0.966182E+03   0.116391E-01   0.165935E-03   0.158253E+01
    27   0.981399E+03   0.133172E-01   0.178897E-03   0.163174E+01
    28   0.996882E+03   0.151600E-01   0.192361E-03   0.168028E+01
    29   0.101267E+04   0.171581E-01   0.206328E-03   0.172449E+01
    30   0.102867E+04   0.193120E-01   0.220799E-03   0.175969E+01
    31   0.104479E+04   0.216401E-01   0.235776E-03   0.178669E+01
    32   0.106131E+04   0.241486E-01   0.251257E-03   0.180669E+01
    33   0.107823E+04   0.268250E-01   0.267244E-03   0.181731E+01
    34   0.109534E+04   0.296707E-01   0.283738E-03   0.181666E+01
    35   0.111263E+04   0.327116E-01   0.300737E-03   0.180549E+01
    36   0.113003E+04   0.359801E-01   0.318242E-03   0.178435E+01
    37   0.114753E+04   0.394782E-01   0.336252E-03   0.175435E+01
    38   0.116542E+04   0.432060E-01   0.354768E-03   0.171810E+01
    39   0.118368E+04   0.471598E-01   0.373789E-03   0.167501E+01
    40   0.120207E+04   0.513402E-01   0.393314E-03   0.162347E+01
    41   0.122070E+04   0.557538E-01   0.413342E-03   0.156181E+01
    42   0.123935E+04   0.604101E-01   0.433872E-03   0.148906E+01
    43   0.125816E+04   0.653193E-01   0.454904E-03   0.140443E+01
    44   0.127695E+04   0.704768E-01   0.476437E-03   0.130802E+01
    45   0.129610E+04   0.758882E-01   0.498469E-03   0.120001E+01
    46   0.131552E+04   0.815597E-01   0.521000E-03   0.107874E+01
    47   0.133507E+04   0.874861E-01   0.544027E-03   0.945050E+00
    48   0.135471E+04   0.936664E-01   0.567551E-03   0.803096E+00
    49   0.137451E+04   0.100077E+00   0.591569E-03   0.656425E+00
    50   0.139473E+04   0.106688E+00   0.616081E-03   0.501802E+00
    51   0.141515E+04   0.113467E+00   0.641085E-03   0.334602E+00
    52   0.143597E+04   0.120503E+00   0.666581E-03   0.150269E+00
    53   0.145680E+04   0.127952E+00   0.692568E-03  -0.538875E-01
    54   0.147754E+04   0.135811E+00   0.719044E-03  -0.272591E+00
    55   0.149839E+04   0.144064E+00   0.746008E-03  -0.500446E+00
    56   0.151956E+04   0.152574E+00   0.773461E-03  -0.738450E+00
    57   0.154099E+04   0.161228E+00   0.801401E-03  -0.986846E+00
    58   0.156270E+04   0.170029E+00   0.829828E-03  -0.124692E+01
    59   0.158457E+04   0.179010E+00   0.858742E-03  -0.151999E+01
    60   0.160663E+04   0.188220E+00   0.888142E-03  -0.180592E+01
    61   0.162920E+04   0.197748E+00   0.918028E-03  -0.210428E+01
    62   0.165166E+04   0.207583E+00   0.948402E-03  -0.241568E+01
