#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.105040E-04   0.198399E+08   0.198399E+08   0.264394E+08   0.264390E+08   0.198422E+08   0.198399E+08   0.198399E+08   0.198476E+08  -0.472959E+00   0.104651E+08   0.104651E+08   0.576960E+01
   0.116035E-04   0.198399E+08   0.198399E+08   0.264363E+08   0.264359E+08   0.198421E+08   0.198399E+08   0.198399E+08   0.198476E+08  -0.472959E+00   0.104651E+08   0.104651E+08   0.637330E+01
   0.128180E-04   0.198399E+08   0.198399E+08   0.264326E+08   0.264321E+08   0.198421E+08   0.198399E+08   0.198399E+08   0.198476E+08  -0.472958E+00   0.104650E+08   0.104650E+08   0.704012E+01
   0.141597E-04   0.198399E+08   0.198399E+08   0.264281E+08   0.264274E+08   0.198421E+08   0.198399E+08   0.198399E+08   0.198476E+08  -0.472958E+00   0.104650E+08   0.104650E+08   0.777665E+01
   0.156418E-04   0.198399E+08   0.198399E+08   0.264225E+08   0.264217E+08   0.198421E+08   0.198399E+08   0.198399E+08   0.198476E+08  -0.472958E+00   0.104650E+08   0.104650E+08   0.859015E+01
   0.172790E-04   0.198398E+08   0.198398E+08   0.264158E+08   0.264148E+08   0.198420E+08   0.198399E+08   0.198398E+08   0.198476E+08  -0.472957E+00   0.104650E+08   0.104650E+08   0.948862E+01
   0.190876E-04   0.198398E+08   0.198398E+08   0.264075E+08   0.264063E+08   0.198420E+08   0.198398E+08   0.198398E+08   0.198476E+08  -0.472957E+00   0.104650E+08   0.104650E+08   0.104809E+02
   0.210855E-04   0.198398E+08   0.198398E+08   0.263975E+08   0.263960E+08   0.198420E+08   0.198398E+08   0.198398E+08   0.198475E+08  -0.472956E+00   0.104650E+08   0.104650E+08   0.115768E+02
   0.232925E-04   0.198398E+08   0.198398E+08   0.263852E+08   0.263834E+08   0.198419E+08   0.198398E+08   0.198398E+08   0.198475E+08  -0.472955E+00   0.104650E+08   0.104650E+08   0.127869E+02
   0.257305E-04   0.198398E+08   0.198398E+08   0.263703E+08   0.263680E+08   0.198418E+08   0.198398E+08   0.198398E+08   0.198475E+08  -0.472955E+00   0.104650E+08   0.104650E+08   0.141231E+02
   0.284237E-04   0.198397E+08   0.198397E+08   0.263520E+08   0.263493E+08   0.198417E+08   0.198397E+08   0.198397E+08   0.198474E+08  -0.472953E+00   0.104650E+08   0.104650E+08   0.155985E+02
