#    L    TT             EE             TE             PP             TP          
     2   0.644057E+03   0.447923E-01   0.317868E+01   0.149752E+07  -0.223408E+04
     3   0.723571E+03   0.704212E-01   0.409415E+01   0.228157E+07  -0.778815E+04
     4   0.748169E+03   0.760204E-01   0.415137E+01   0.295349E+07  -0.116174E+05
     5   0.753465E+03   0.645688E-01   0.374483E+01   0.352874E+07  -0.141159E+05
     6   0.752915E+03   0.456048E-01   0.315565E+01   0.402180E+07  -0.156942E+05
     7   0.752145E+03   0.278749E-01   0.254640E+01   0.444701E+07  -0.166438E+05
     8   0.753001E+03   0.157979E-01   0.200755E+01   0.481553E+07  -0.172241E+05
     9   0.756032E+03   0.959034E-02   0.157691E+01   0.513665E+07  -0.175921E+05
    10   0.760961E+03   0.723897E-02   0.126591E+01   0.541683E+07  -0.177735E+05
    11   0.767116E+03   0.649122E-02   0.107081E+01   0.566325E+07  -0.177646E+05
    12   0.775374E+03   0.602498E-02   0.976537E+00   0.587905E+07  -0.175946E+05
    13   0.784392E+03   0.528059E-02   0.956622E+00   0.606807E+07  -0.173117E+05
    14   0.793575E+03   0.459371E-02   0.982845E+00   0.623433E+07  -0.169632E+05
    15   0.803455E+03   0.415660E-02   0.103684E+01   0.638041E+07  -0.165809E+05
    16   0.814630E+03   0.404754E-02   0.110384E+01   0.650853E+07  -0.161882E+05
    17   0.827127E+03   0.425258E-02   0.117049E+01   0.662086E+07  -0.157911E+05
    18   0.840075E+03   0.455942E-02   0.122795E+01   0.671932E+07  -0.153905E+05
    19   0.854345E+03   0.490303E-02   0.127741E+01   0.680494E+07  -0.149845E+05
    20   0.868299E+03   0.531970E-02   0.131966E+01   0.687866E+07  -0.145724E+05
    21   0.882341E+03   0.583661E-02   0.135825E+01   0.694194E+07  -0.141603E+05
    22   0.896799E+03   0.655073E-02   0.139615E+01   0.699621E+07  -0.137548E+05
    23   0.911495E+03   0.748799E-02   0.143596E+01   0.704217E+07  -0.133572E+05
    24   0.926496E+03   0.862172E-02   0.147954E+01   0.708040E+07  -0.129662E+05
    25   0.941784E+03   0.995719E-02   0.152592E+01   0.711168E+07  -0.125774E+05
    26   0.957209E+03   0.114685E-01   0.157499E+01   0.713677E+07  -0.121868E+05
    27   0.973001E+03   0.131375E-01   0.162578E+01   0.715629E+07  -0.117953E+05
    28   0.988998E+03   0.149718E-01   0.167729E+01   0.717071E+07  -0.114064E+05
    29   0.100525E+04   0.169599E-01   0.172411E+01   0.718012E+07  -0.110267E+05
    30   0.102168E+04   0.191008E-01   0.176005E+01   0.718470E+07  -0.106618E+05
    31   0.103820E+04   0.214131E-01   0.178629E+01   0.718508E+07  -0.103086E+05
    32   0.105507E+04   0.239039E-01   0.180499E+01   0.718198E+07  -0.996299E+04
    33   0.107230E+04   0.265621E-01   0.181469E+01   0.717563E+07  -0.962539E+04
    34   0.108969E+04   0.293898E-01   0.181418E+01   0.716620E+07  -0.929819E+04
    35   0.110725E+04   0.324127E-01   0.180365E+01   0.715396E+07  -0.898734E+04
    36   0.112491E+04   0.356630E-01   0.178293E+01   0.713917E+07  -0.869689E+04
    37   0.114265E+04   0.391422E-01   0.175280E+01   0.712204E+07  -0.841987E+04
    38   0.116076E+04   0.428503E-01   0.171579E+01   0.710277E+07  -0.814798E+04
    39   0.117922E+04   0.467838E-01   0.167170E+01   0.708150E+07  -0.787871E+04
    40   0.119778E+04   0.509441E-01   0.161945E+01   0.705836E+07  -0.761097E+04
    41   0.121657E+04   0.553380E-01   0.155780E+01   0.703348E+07  -0.734436E+04
    42   0.123536E+04   0.599749E-01   0.148562E+01   0.700697E+07  -0.708108E+04
    43   0.125429E+04   0.648646E-01   0.140187E+01   0.697900E+07  -0.682400E+04
    44   0.127320E+04   0.700020E-01   0.130635E+01   0.694968E+07  -0.657599E+04
    45   0.129246E+04   0.753925E-01   0.119899E+01   0.691917E+07  -0.633992E+04
    46   0.131198E+04   0.810421E-01   0.107791E+01   0.688758E+07  -0.611768E+04
    47   0.133164E+04   0.869458E-01   0.944069E+00   0.685501E+07  -0.590723E+04
    48   0.135137E+04   0.931029E-01   0.801774E+00   0.682155E+07  -0.570554E+04
    49   0.137127E+04   0.994904E-01   0.654743E+00   0.678729E+07  -0.550961E+04
    50   0.139156E+04   0.106078E+00   0.499910E+00   0.675232E+07  -0.531641E+04
    51   0.141204E+04   0.112834E+00   0.332775E+00   0.671671E+07  -0.512381E+04
    52   0.143292E+04   0.119847E+00   0.148728E+00   0.668053E+07  -0.493316E+04
    53   0.145380E+04   0.127272E+00  -0.550153E-01   0.664381E+07  -0.474671E+04
    54   0.147459E+04   0.135108E+00  -0.273273E+00   0.660663E+07  -0.456670E+04
    55   0.149548E+04   0.143338E+00  -0.500748E+00   0.656903E+07  -0.439537E+04
    56   0.151670E+04   0.151823E+00  -0.738504E+00   0.653105E+07  -0.423424E+04
    57   0.153817E+04   0.160451E+00  -0.986757E+00   0.649272E+07  -0.408199E+04
    58   0.155992E+04   0.169226E+00  -0.124674E+01   0.645408E+07  -0.393659E+04
    59   0.158183E+04   0.178181E+00  -0.151971E+01   0.641515E+07  -0.379599E+04
    60   0.160393E+04   0.187365E+00  -0.180548E+01   0.637595E+07  -0.365817E+04
    61   0.162652E+04   0.196866E+00  -0.210358E+01   0.633652E+07  -0.352154E+04
    62   0.164900E+04   0.206676E+00  -0.241466E+01   0.629691E+07  -0.338638E+04
    63   0.167159E+04   0.216760E+00  -0.273930E+01   0.625715E+07  -0.325340E+04
    64   0.169458E+04   0.227135E+00  -0.307828E+01   0.621729E+07  -0.312334E+04
    65   0.171757E+04   0.237783E+00  -0.343181E+01   0.617740E+07  -0.299693E+04
    66   0.174086E+04   0.248639E+00  -0.379777E+01   0.613750E+07  -0.287476E+04
    67   0.176428E+04   0.259705E+00  -0.417378E+01   0.609763E+07  -0.275694E+04
    68   0.178809E+04   0.271020E+00  -0.455872E+01   0.605780E+07  -0.264345E+04
    69   0.181207E+04   0.282542E+00  -0.495137E+01   0.601803E+07  -0.253427E+04
    70   0.183634E+04   0.294310E+00  -0.535395E+01   0.597834E+07  -0.242938E+04
    71   0.186075E+04   0.306312E+00  -0.576925E+01   0.593874E+07  -0.232863E+04
    72   0.188532E+04   0.318520E+00  -0.619841E+01   0.589924E+07  -0.223136E+04
    73   0.191005E+04   0.330903E+00  -0.664169E+01   0.585983E+07  -0.213680E+04
    74   0.193498E+04   0.343449E+00  -0.709785E+01   0.582052E+07  -0.204416E+04
    75   0.196024E+04   0.356169E+00  -0.756504E+01   0.578130E+07  -0.195266E+04
    76   0.198578E+04   0.369065E+00  -0.804234E+01   0.574217E+07  -0.186173E+04
    77   0.201164E+04   0.382131E+00  -0.852956E+01   0.570315E+07  -0.177162E+04
    78   0.203786E+04   0.395397E+00  -0.902814E+01   0.566425E+07  -0.168279E+04
    79   0.206421E+04   0.408809E+00  -0.953434E+01   0.562550E+07  -0.159572E+04
    80   0.209080E+04   0.422376E+00  -0.100496E+02   0.558690E+07  -0.151086E+04
    81   0.211751E+04   0.436048E+00  -0.105745E+02   0.554848E+07  -0.142862E+04
    82   0.214442E+04   0.449847E+00  -0.111083E+02   0.551024E+07  -0.134918E+04
    83   0.217150E+04   0.463749E+00  -0.116507E+02   0.547220E+07  -0.127266E+04
    84   0.219884E+04   0.477748E+00  -0.122002E+02   0.543437E+07  -0.119916E+04
    85   0.222631E+04   0.491821E+00  -0.127580E+02   0.539676E+07  -0.112882E+04
    86   0.225401E+04   0.505978E+00  -0.133232E+02   0.535937E+07  -0.106167E+04
    87   0.228216E+04   0.520192E+00  -0.138950E+02   0.532222E+07  -0.997471E+03
    88   0.231029E+04   0.534480E+00  -0.144734E+02   0.528530E+07  -0.935919E+03
