#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2   0.644057E+03   0.317868E+01  -0.239668E-03   0.317868E+01   0.447923E-01  -0.159361E-04  -0.239668E-03  -0.159361E-04   0.721911E-07
     3   0.723571E+03   0.409415E+01  -0.700191E-03   0.409415E+01   0.704212E-01  -0.190143E-04  -0.700191E-03  -0.190143E-04   0.869039E-07
     4   0.748169E+03   0.415137E+01  -0.948090E-03   0.415137E+01   0.760204E-01  -0.187199E-04  -0.948090E-03  -0.187199E-04   0.988744E-07
     5   0.753465E+03   0.374483E+01  -0.108356E-02   0.374483E+01   0.645688E-01  -0.161167E-04  -0.108356E-02  -0.161167E-04   0.108871E-06
     6   0.752915E+03   0.315565E+01  -0.115487E-02   0.315565E+01   0.456048E-01  -0.121974E-04  -0.115487E-02  -0.121974E-04   0.117285E-06
     7   0.752145E+03   0.254640E+01  -0.118745E-02   0.254640E+01   0.278749E-01  -0.784300E-05  -0.118745E-02  -0.784300E-05   0.124446E-06
     8   0.753001E+03   0.200755E+01  -0.120016E-02   0.200755E+01   0.157979E-01  -0.374269E-05  -0.120016E-02  -0.374269E-05   0.130580E-06
     9   0.756032E+03   0.157691E+01  -0.120317E-02   0.157691E+01   0.959034E-02  -0.428403E-06  -0.120317E-02  -0.428403E-06   0.135870E-06
    10   0.760961E+03   0.126591E+01  -0.119739E-02   0.126591E+01   0.723897E-02   0.175067E-05  -0.119739E-02   0.175067E-05   0.140430E-06
    11   0.767116E+03   0.107081E+01  -0.118199E-02   0.107081E+01   0.649122E-02   0.272941E-05  -0.118199E-02   0.272941E-05   0.144401E-06
    12   0.775374E+03   0.976537E+00  -0.115850E-02   0.976537E+00   0.602498E-02   0.273028E-05  -0.115850E-02   0.273028E-05   0.147829E-06
    13   0.784392E+03   0.956622E+00  -0.112977E-02   0.956622E+00   0.528059E-02   0.205504E-05  -0.112977E-02   0.205504E-05   0.150781E-06
    14   0.793575E+03   0.982845E+00  -0.109857E-02   0.982845E+00   0.459371E-02   0.990880E-06  -0.109857E-02   0.990880E-06   0.153336E-06
    15   0.803455E+03   0.103684E+01  -0.106666E-02   0.103684E+01   0.415660E-02  -0.254076E-06  -0.106666E-02  -0.254076E-06   0.155537E-06
    16   0.814630E+03   0.110384E+01  -0.103530E-02   0.110384E+01   0.404754E-02  -0.147516E-05  -0.103530E-02  -0.147516E-05   0.157423E-06
    17   0.827127E+03   0.117049E+01  -0.100467E-02   0.117049E+01   0.425258E-02  -0.240237E-05  -0.100467E-02  -0.240237E-05   0.159034E-06
    18   0.840075E+03   0.122795E+01  -0.974649E-03   0.122795E+01   0.455942E-02  -0.282012E-05  -0.974649E-03  -0.282012E-05   0.160404E-06
    19   0.854345E+03   0.127741E+01  -0.945000E-03   0.127741E+01   0.490303E-02  -0.279603E-05  -0.945000E-03  -0.279603E-05   0.161549E-06
    20   0.868299E+03   0.131966E+01  -0.915563E-03   0.131966E+01   0.531970E-02  -0.247644E-05  -0.915563E-03  -0.247644E-05   0.162484E-06
